Layer,LOG_mask Recall,LOG_mask_2 Recall,LOG_pred Recall
0,0.7940974605353466,0.3955140186915888,0.9408502772643254
1,0.7384341637010676,0.4426229508196721,0.9060963618485742
2,0.6504504504504505,0.7208791208791209,0.8596059113300493
3,0.6053299492385786,0.706875753920386,0.8660531697341514
4,0.6548956661316212,0.8057184750733137,0.8646288209606987
5,0.7843986998916577,0.8745136186770428,0.8619119878603946
6,0.7343623070674249,0.6888677450047573,0.877713458755427
7,0.7339821573398215,0.8868648130393096,0.919605077574048
8,0.75,0.8683673469387755,0.9447603574329814
9,0.6655031995346131,0.8796296296296297,0.927461139896373
10,0.6858108108108109,0.8561464690496948,0.9151027703306523
11,0.7300073367571533,0.8697863682604272,0.9292364990689013
12,0.7930348258706468,0.7829787234042553,0.9398907103825137
13,0.8101604278074866,0.9402985074626866,0.9184027777777778
14,0.8740554156171285,0.960960960960961,0.938715953307393
15,0.96,0.9534883720930233,0.9289871944121071
16,0.937007874015748,0.9428571428571428,0.9434782608695652
17,0.9883720930232558,0.972972972972973,0.927437641723356
18,0.9552238805970149,0.9859154929577465,0.9077380952380952
19,0.9791666666666666,0.9193548387096774,0.8823529411764706
20,0.9347826086956522,0.9318181818181818,0.9040404040404041
21,0.8620689655172413,0.9574468085106383,0.8609625668449198
22,0.9259259259259259,0.96875,0.8904109589041096
23,0.7391304347826086,0.8947368421052632,0.8646616541353384
24,1.0,0.7857142857142857,0.8923076923076924
25,1.0,0.9696969696969697,0.8703703703703703
26,0.9375,0.9736842105263158,0.8627450980392157
27,0.9333333333333333,0.9,0.8476190476190476
28,1.0,0.9264705882352942,0.8125
29,1.0,0.9130434782608695,0.8863636363636364
30,1.0,0.948051948051948,0.8976377952755905
31,1.0,0.875,0.9478672985781991
